"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -3.711544954,      -16.81518246,      -17.56041679,      -10.08928378
          0,           0,           1,      -4.072566493,      -3.819042369,      -3.681982814,      -10.19143541
          0,           0,           2,      -4.200411843,      -4.240975626,      -4.000388217,      -10.30526942
          0,           0,           3,      -4.352402176,      -4.431213622,      -4.200162615,      -10.34021963
          0,           0,           4,      -4.548719876,      -4.488686038,      -4.221819077,      -10.35532287
          0,           0,           5,      -4.591339876,       -4.49947566,       -4.24786616,      -10.39110094
          0,           0,           6,      -4.599364345,      -4.482793498,      -4.235790418,      -10.41940986
          0,           0,           7,      -4.604014365,      -4.448222224,      -4.219615949,      -10.44486694
          0,           0,           8,      -4.611449166,      -4.402837156,      -4.206683205,      -10.46196603
          0,           0,           9,      -4.620645407,      -4.354015295,      -4.199198694,      -10.46827912
          0,           0,          10,      -4.629148845,      -4.308610722,      -4.196616352,      -10.46178829
          0,           0,          11,      -4.635268065,      -4.270840635,      -4.197208089,      -10.45416274
          0,           0,          12,      -4.638871883,      -4.242680846,      -4.199207868,      -10.44666186
          0,           0,          13,      -4.640655158,      -4.224700528,      -4.201291372,      -10.43848675
          0,           0,          14,      -4.641246583,      -4.216505426,      -4.202623073,      -10.43158231
          0,           0,          15,      -4.641065507,      -4.216779207,      -4.202683261,      -10.42403503
          0,           0,          16,      -4.640546132,       -4.22328526,      -4.201193254,      -10.41518772
          0,           0,          17,      -4.640162053,      -4.233134348,      -4.198233358,      -10.40465803
          0,           0,          18,      -4.640243827,      -4.243412254,      -4.194334035,      -10.39295824
          0,           0,          19,      -4.640862178,        -4.2519788,      -4.190322182,      -10.38098276
          0,           0,          20,      -4.641834419,      -4.258037435,      -4.187037165,      -10.36887662
          0,           0,          21,      -4.642865316,      -4.262138591,      -4.185071848,      -10.35632361
          0,           0,          22,      -4.643716788,      -4.265662356,      -4.184664243,      -10.34320441
          0,           0,          23,      -4.644289758,       -4.27016752,      -4.185763645,      -10.32954053
          0,           0,          24,      -4.644640577,      -4.276894622,      -4.188144337,      -10.31573181
          0,           0,          25,      -4.644936199,      -4.286491239,      -4.191492747,      -10.30181961
          0,           0,          26,      -4.645393215,      -4.298940584,      -4.195394853,      -10.28828404
