"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
0, 9.918300000000000e-01, -1.888889000000005e-05, -7.299956969084470e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.459991393816894e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, -1.040936613044456e-07, -0.000000000000000e+00, 2.855698524348769e+01, 0.000000000000000e+00
1, 9.918300000000000e-01, -1.677777795701874e-04, -1.686387369166949e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.372774738333899e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, -1.113260799172169e-07, -0.000000000000000e+00, 2.953239532427224e+01, 0.000000000000000e+00
2, 9.918300000000000e-01, -3.166666688271604e-04, -2.507974771031777e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.015949542063556e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, -8.910037117088737e-08, -0.000000000000000e+00, 2.642043547302473e+01, 0.000000000000000e+00
3, 9.918300000000000e-01, -4.655555577960676e-04, -2.960247242619884e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.920494485239769e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, -5.017527237115262e-08, -0.000000000000000e+00, 1.982645571523036e+01, 0.000000000000000e+00
4, 9.918300000000000e-01, -6.144444465249199e-04, -2.933318140406863e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -5.866636280813728e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, -6.863400058060987e-09, -0.000000000000000e+00, 7.332800541777763e+00, 0.000000000000000e+00
5, 9.918300000000000e-01, -7.633333350617282e-04, -2.445958948216884e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.891917896433769e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, 2.844690946449312e-08, -0.000000000000000e+00, 1.492855457890535e+01, 0.000000000000000e+00
6, 9.918300000000000e-01, -9.122222234545038e-04, -1.644491291907219e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.288982583814439e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, 4.322036758375191e-08, -0.000000000000000e+00, 1.840112786104836e+01, 0.000000000000000e+00
7, 9.918300000000000e-01, -1.061111111751257e-03, -7.991910663878100e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -1.598382132775620e+00, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 0.000000000000000e+00, 2.160887498262850e-08, -0.000000000000000e+00, 1.301116826689913e+01, 0.000000000000000e+00
8, 9.918300000000000e-01, 1.300000000000000e-04, 6.411783060677620e-03, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.282356612135524e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.530827512834774e-05, -1.588134209440330e-05, -0.000000000000000e+00, 4.157041745443044e+02, 0.000000000000000e+00
9, 9.918300000000000e-01, -1.210000000000000e-03, -3.047061750114513e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -6.094123500229027e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, -7.171360996798905e-05, -8.154891779593722e-05, -0.000000000000000e+00, 9.223737063580620e+02, 0.000000000000000e+00
10, 9.916812116031266e-01, 1.354694169034485e-04, -1.195482240431814e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -2.390964480863628e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 3.036475606365378e-03, -1.116199337942198e-04, -0.000000000000000e+00, 1.210715923683656e+01, 0.000000000000000e+00
11, 9.915185056746800e-01, 1.414504380988942e-04, -2.329703124475771e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -4.659406248951543e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 3.246863820131847e-03, -1.193537415160790e-04, -0.000000000000000e+00, 1.251954640493865e+01, 0.000000000000000e+00
