"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.160221366,      -4.507940774,      -4.774321311,      -4.364729199
          0,           0,           1,      -4.787482502,      -4.535640865,      -4.812005701,      -3.935246207
          0,           0,           2,      -4.796906337,      -4.524576308,      -4.565694546,      -3.960565087
          0,           0,           3,      -4.511108297,      -4.309697037,      -4.299022455,      -3.654968788
          0,           0,           4,      -4.293660951,      -4.103885879,      -4.052736497,      -3.446422258
          0,           0,           5,      -4.108978654,      -3.906721825,      -3.874328267,       -3.27632468
          0,           0,           6,      -3.957411093,      -3.729488651,      -3.745014556,      -3.141465195
          0,           0,           7,      -3.833641348,      -3.581122263,      -3.671156637,      -3.041303307
          0,           0,           8,      -3.709925639,      -3.427681605,      -3.602086558,      -2.935609706
          0,           0,           9,      -3.558862784,      -3.245083842,      -3.502978372,       -2.79877174
          0,           0,          10,       -3.39875273,      -3.067684582,       -3.41746807,      -2.653663255
          0,           0,          11,      -3.277826277,      -2.920018563,      -3.372632003,      -2.523892925
          0,           0,          12,      -3.223675502,      -2.836522571,      -3.321598542,      -2.442591329
          0,           0,          13,      -3.237477508,      -2.834361522,      -3.277154269,      -2.430351171
          0,           0,          14,      -3.296880964,      -2.896985101,      -3.274244351,      -2.475231488
          0,           0,          15,      -3.366376847,      -2.982234965,      -3.307424928,      -2.543838838
          0,           0,          16,      -3.427672933,      -3.056758054,      -3.354665683,      -2.609376327
          0,           0,          17,      -3.486554318,      -3.123747971,       -3.40767089,      -2.671071956
          0,           0,          18,       -3.55010432,        -3.1930547,      -3.463963022,      -2.734702992
          0,           0,          19,      -3.615523403,      -3.265100304,      -3.520472136,      -2.799356827
          0,           0,          20,      -3.677181886,      -3.335429503,      -3.578055296,      -2.862988308
          0,           0,          21,      -3.733680047,      -3.398756738,      -3.639488799,      -2.923940692
          0,           0,          22,      -3.791846709,      -3.460930941,      -3.700474107,      -2.984329906
          0,           0,          23,      -3.850870757,      -3.521822974,      -3.757286213,      -3.043520797
          0,           0,          24,      -3.905232728,      -3.573067039,      -3.815073322,      -3.096888629
          0,           0,          25,       -3.95200541,       -3.61539101,      -3.871417167,      -3.143106687
          0,           0,          26,      -3.994429546,       -3.66023578,      -3.928403534,      -3.186874687
          0,           0,          27,      -4.035336338,      -3.708763328,      -3.986818477,      -3.231578717
          0,           0,          28,      -4.076739393,         -3.755777,      -4.042975695,       -3.27637326
          0,           0,          29,      -4.121580917,      -3.801880563,      -4.097776113,      -3.322877449
          0,           0,          30,      -4.170147655,      -3.848735487,      -4.151983538,      -3.371817955
